ClientID,Name,TypeID,City,Region,Pricing
18,Viavi Hideaway,13,Santa Monica,CA,1
19,Hk Graphene Restaurant,13,Alexandria,VA,3
20,Devago,13,Koloa,HI,3
21,Hookah BrotherUp,13,Norcross,GA,3
22,Arvana,13,Nottingham,MD,2
23,Vesuvius Itallian,13,Rockville Centre,NY,2
24,Truecar,13,Santa Fe,NM,3
25,Merrill Pynch,13,San Francisco,CA,3
26,Innovative Designs,13,Juno Beach,FL,3
27,Pacific Sands,13,Walnut Creek,CA,3
28,Flanigans Enterprises,13,Austin,TX,1
29,Zoned Fruits,14,Geneva,IL,2
30,Genesis,13,Los Angeles,CA,2
31,Lenco Fast,13,Livermore,CA,1
32,1St Constitution,13,San Francisco,CA,3
33,Inhibitex,13,Sioux Falls,SD,2
34,North China Horticulture,13,Seminole,FL,1
35,Royale Felafel,13,San Diego,CA,1
36,60 East 42Nd Street,13,Arlington,VA,3
37,Dohn Jeere,13,Collingswood,NJ,3
38,Morgan Freeman Stanley,13,Flagstaff,AZ,3
39,Cafe Midticket,13,Homewood,AL,3
40,Dill Gs Delis,13,Hallandale Beach,FL,1
41,Aussie Outback,13,Las Vegas,NV,3
42,Powin Pizzeria,13,Kenner,LA,1
43,24Eatings,13,Dickinson,ND,2
44,Unilife ,13,Bossier City,LA,2
45,Mikros Bar,13,New York,NY,2
46,Hub Chow,3,Alameda,CA,2
47,Caffetaria,13,Santa Cruz,CA,3
48,Rethought Cafe Pub,13,Seattle,WA,3
49,Ribald Honda Crispy,13,Pittsburgh,PA,3
50,Zec's Hummus,13,Garland,TX,3
51,Synovus Grove,13,Bend,OR,1
52,Lodgenetnteractive,13,Wenatchee,WA,2
53,Green Planet Bio,13,Norfolk,VA,3
54,Visa Patisserrie,13,Baton Rouge,LA,1
55,Caleres,13,Rockville,MD,3
56,General Cannabis Bar,13,Los Angeles,CA,1
57,Lyondellbasell Noodles,13,Fairfield,CT,2
58,Mobilesmith,13,Brooklyn,NY,1
59,First Republic Preferred,13,Washington,DC,1
60,Vsb Baker,13,Manhattan Beach,CA,3
61,Miscounted American Express,13,Hudson,MA,3
62,Thrive World Wide,13,Brisbane,CA,1
63,Bob's Burgers,13,Pigeon Forge,TN,3
64,Tire Lodge,13,San Diego,CA,3
65,Decision Cafe,13,Indian Rocks Beach,FL,3
66,Cajun Tastes,13,Birmingham,AL,2
67,Blue Bridge,13,Taos,NM,3
68,Igenii,3,Albuquerque,NM,2
69,Cambium Learning,13,Seattle,WA,1
70,Jubilant Flame,13,Los Angeles,CA,1
71,Genera Ally Edibles,13,Santa Barbara,CA,3
72,Third Point Rekitchen,14,Las Vegas,NV,2
73,Aunties Cal Edibles,13,Santa Clara,CA,3
74,Tag Bakes,13,Placentia,CA,1
75,Cvs Food Bar,13,Portland,OR,3
76,Rockfish,13,Lambertville,NJ,2
77,Presidential Life ,13,San Francisco,CA,3
78,Stratean,14,Seattle,WA,2
79,Pimi Agro Cleantech,13,Watchung,NJ,2
80,Elsinore Services,13,San Luis Obispo,CA,2
81,O'Donnell Steak,13,Danbury,CT,1
82,Nownews Crum Media,13,San Francisco,CA,3
83,Franklin Fish,14,Burlingame,CA,2
84,American Public Service,13,Monterey,CA,3
85,Cyber Apps World,13,Long Island City,NY,3
86,Xd Xd,13,Los Angeles,CA,2
87,Northeast Community,13,Springdale,UT,3
88,Synthesissystems,13,Los Gatos,CA,3
89,Francesca's Eatings,13,Raleigh,NC,3
90,International Silver,13,Rio Rancho,NM,1
91,Cornerstone Drink Fun,13,Fresno,CA,3
92,Demote Quotemedia,13,Oregon City,OR,1
93,Li-Ion Motors Bar,13,Santa Barbara,CA,2
94,Hampden Baker,13,Falls Church,VA,3
95,Eastern Light Calories,13,Seattle,WA,3
96,Fresh Del Monte Produce,13,New Rochelle,NY,1
97,Cracker Outletrel Old,13,Los Angeles,CA,1
98,Wells Cuisine Fun,13,Brooklyn,NY,1
99,Surrey Baker,13,Seattle,WA,3
100,Fuel Tech,13,Charlotte,NC,1
101,Nps Yummy,13,Pittsburgh,PA,2
102,Ruralmetro Joint,13,Oakland,CA,1
103,Mfri,13,Roslyn,NY,3
104,Nexus Dadta Bakes,13,Campbell,CA,3
105,Gains Suisse Park View,13,San Jose,CA,3
106,Dole Food,13,Honolulu,HI,1
107,Ppg Noodles,13,Devon,PA,3
108,Rectifies Santander Drive,13,Austin,TX,1
109,Docklands FeastFast,13,Burnsville,MN,3
110,New Residential,13,Boston,MA,2
111,Bigfoot Palate,13,Union City,CA,2
112,Daystar Bakes,13,Charleston,SC,1
113,China Gengsheng Pizza,13,Boynton Beach,FL,2
114,Polymedix,13,Seattle,WA,3
115,Altra Motion,13,Dover,NH,1
116,Consolidated Edison,13,New York,NY,1
117,Icahn Enterprises,13,Las Vegas,NV,3
118,Fnbh Baker,13,Albuquerque,NM,3
119,Global Brass & Copper,13,Atlanta,GA,2
120,Griffin-American,13,St Petersburg,FL,2
121,Ironclad Performance Wear,13,Tempe,AZ,1
122,Reassemble Volkswagen Lime,13,San Diego,CA,3
123,Cheetah Enterprises,13,Lilburn,GA,1
124,Wadena Bar,13,Meraux,LA,1
125,Checkpoint,13,Burbank,CA,2
126,Pismo Coast Village,13,Aliso Viejo,CA,1
127,Keyservices,13,Wilmington,DE,2
128,Farmer Brothers Co,13,Las Vegas,NV,3
129,Isc8 De,13,Fayetteville,GA,2
130,Kiewit Royalty Pub,13,New Orleans,LA,3
131,Patient Safety,13,Kahului,HI,1
132,Harris Teeter,13,Delray Beach,FL,1
133,Teleflex,13,Concord,NH,3
134,Silicon Graphics,13,Cambridge,MA,3
135,University General Food,14,Hermosa Beach,CA,2
136,Amc Entertainment,13,Lenox,MA,2
137,Business Marketing,13,Honolulu,HI,2
138,American Locker,13,Everett,WA,1
139,Petvivo Eatings,13,Steamboat Springs,CO,2
140,Niece Ge Cafe,13,Knoxville,TN,1
141,Wally World Media,13,Marquette,MI,1
142,Comhear,13,New Orleans,LA,3
143,Outfront Media,13,W Hollywood,CA,3
144,Reraise Gaming Bar,13,Cudjoe Key,FL,2
145,Contact Pizza Bar,13,Richmond,VA,1
146,C2C Crowdfunding,13,New York,NY,3
147,Pico Eatings New,13,San Jose,CA,1
148,Sorrento Kitchens,13,New York,NY,3
149,Om,13,East Rutherford,NJ,1
150,Medifast,13,Morgantown,WV,1
151,Brt Drink Pub,13,Ashburn,VA,2
152,Golden Growers,13,Chicago,IL,3
153,Anpulo Food,13,Half Moon Bay,CA,3
154,Ep,13,Los Angeles,CA,3
155,American Riding Tours,13,Winston Salem,NC,1
156,Qpagos,13,Austin,TX,3
157,Dominion Eatings,13,Kitty Hawk,NC,3
158,Lnb Baker,13,Palm Springs,CA,2
159,Balqon Pizzeria,13,Minneapolis,MN,3
160,Infoblox,13,Fort Worth,TX,1
161,Westlake Beverage ,13,Hershey,PA,3
162,Pacific Food Care,13,Hilo,HI,1
163,Mcdermott Lodge,13,West Columbia,SC,1
164,Freds,13,Turlock,CA,2
165,Alco,13,Washington,DC,3
166,Ecology & Environment,13,Hanalei,HI,1
167,Arrowhead Grill,13,Oceanside,CA,2
168,Daegis,13,Costa Mesa,CA,1
169,Capsalus Bar,13,Los Angeles,CA,1
170,Oncbiomune,13,Long Beach,CA,2
171,Juniper Growth Dining,15,Millbrae,CA,2
172,General Agriculture,13,Atlanta,GA,2
173,Irony Huntington Pub,13,South Jordan,UT,2
174,Goldman Sachs Bdc,13,Salt Lake City,UT,1
175,Cygnet Honda Crispy,13,Honolulu,HI,3
176,Cabinet Grow,12,Lakewood,CA,2
177,Horizon Global Bar,13,Glen Mills,PA,3
178,Atlas Air Worldwide,13,Kent,WA,2
179,Coroware,13,Arlington,VA,1
180,Nnn Value Fun,13,Lansing,MI,2
181,Comdisco Eating,13,Lafayette,CA,3
182,First Dished,13,Sunnyvale,CA,3
183,Aep Noodles,13,Sheridan,WY,2
184,Valassis Pizzarie,13,Springfield,OH,1
185,Fti Sea Food,13,Germantown,MD,2
186,Stratasys,13,Columbia,MO,2
187,Socket Fast,13,North Woodstock,NH,1
188,Advanced Voice,13,Westlake,LA,2
189,Marshall & Lesley Bar,13,Bryn Mawr,PA,3
190,Nga Eatco,13,Sausalito,CA,1
191,Catalent Karma Cookery,13,Carrollton,TX,1
192,Symbid Bar,13,San Francisco,CA,1
193,Ch Cuisinei,13,Fountain Valley,CA,3
194,Internap Chophouse,13,Portland,OR,3
195,XoXo,13,Bend,OR,1
196,Fairpoint Pizzarie,13,Lewiston,ME,2
197,Mimedx,13,La Jolla,CA,3
198,8888 Bakery,13,San Francisco,CA,3
199,Harmonic,13,Woodland,CA,1
200,Whester Lodge,13,Los Angeles,CA,2
201,Locan,13,North Bergen,NJ,3
202,Nevada Gold Bar,13,Daleville,AL,2
203,Terra Tech Dining,13,Houston,TX,1
204,Engchow Service ,13,Williamsburg,VA,3
205,Xtreme Caffee ,13,Foothill Ranch,CA,1
206,Spirit Lodge,13,Niagara-On-The-Lake,ON,1
207,Verisign Ca,2,Hacienda Heights,CA,2
208,Zap,13,San Jose,CA,3
209,Keystone Consolidated,13,Phoenix,AZ,3
210,Analogic Bar,13,Alexandria,VA,3
211,Ameriana Baker,13,New York,NY,3
212,Api Bakes Bar,13,New Orleans,LA,3
213,Encore Cal,13,Las Vegas,NV,1
214,Outbuilding Lehman Cookies,13,Hollywood,FL,1
215,Innovaro,13,Leawood,KS,3
216,Planet Fitness,13,Wadsworth,IL,3
217,Allis Chalmers,13,Savannah,GA,3
218,Agilysys,13,Lake Buena Vista,FL,3
219,Idex Joint,13,Atlanta,GA,1
220,Start Foody,13,Arlington,VA,1
221,Digitiliti,13,Kihei,HI,1
222,Csi Compressco Lp,13,Charlotte,NC,3
223,Chinarestaurant,13,Greenville,SC,3
224,Dime Community Pub,13,Pigeon Forge,TN,3
225,Cal Cooks,13,Ferndale,MI,3
226,Barbels American Express Gains,13,New York,NY,3
227,Lithia Motors,13,Warren,NJ,2
228,Pernix,13,Pittsburgh,PA,1
229,Nts,13,Camarillo,CA,2
230,Cdf Funing,13,San Luis Obispo,CA,1
231,Eiger Bioeaterys,14,Costa Mesa,CA,2
232,USA Zhimingde,13,Hummelstown,PA,3
233,Aerohive Networks,13,Mobile,AL,3
234,Energiz,13,Chicago,IL,1
235,Wilmington Pub Bar,13,Spokane,WA,1
236,Parkland Cafetaria,13,Tacoma,WA,2
237,Schwab Charles Bar,13,Alexandria,VA,1
238,Sibannac,13,Key West,FL,3
239,Tim Hortons,13,Surfside,FL,2
240,Kun De Lodge,13,Philadelphia,PA,3
241,Virtual Learning,13,Niles,IL,2
242,American Laser Caffee,13,Burbank,CA,2
243,Sentech,15,Mansfield,TX,2
244,Sito Fast,13,East Greenwich,RI,1
245,Safeway,13,Seattle,WA,1
246,Sigmatron Lodge,13,Toronto,ON,2
247,Rci Hospitality Eatings,13,Big Bear Lake,CA,1
248,Sella Care,13,Middleburg Heights,OH,2
249,Nationalgains,13,New York,NY,3
250,Clayton Williams,13,Arlington,VA,2
251,Royaub of Boot,13,Memphis,TN,3
252,Slm Bakes,13,Deland,FL,3
253,Kate Spade & Co,14,Washington,DC,1
254,Hst Global,13,Vero Beach,FL,1
255,Fortinet,13,Lakewood,OH,2
256,Submittable Federal Lime,13,San Diego,CA,1
257, Pub Series,13,Scottsdale,AZ,3
258,Omnitek Engineering,13,Village of Garden City,NY,2
259,Rockies Region 2007 Lp,13,New York,NY,2
260,Servisfirst Pub,13,Saint Louis,MO,1
261,Sapient Canteen,13,Portland,OR,2
262,Williams Nuggets,13,Dallas,TX,2
263,Elephant Talk,13,Cle Elum,WA,2
264,Dumbfounded Cafetaria Food,13,Seattle,WA,3
265,Makingorg,13,Del Mar,CA,3
266,Claires Stores,13,Colton,CA,2
267,Galileo Life,13,Sparks,NV,1
268,Amplitech,13,Zionsville,IN,3
269,Asb Baker,13,Carlstadt,NJ,3
270,Endonovo Kitchens,13,Effingham,IL,3
271,Xura,13,Auburn,NY,1
